  mype,      init,    upsend,    dnsend,    weight,    hfiltT,     hfilt,    vfiltT,     vfilt,     bocoT,      boco,   filt2an,     aintp,      intp,   an2filt,    output,     total,  multiply,  ifc_mult,   ifc_reg,  ifc_fset,preprocess,anal_to_fi, filtering,filt_to_an,postproces,    icount
     0,    0.0000,   50.6907,   60.3988,   25.2326,  139.7720,  139.5768,   12.7847,   12.3831,   35.1786,   37.9420,    0.0000,    0.0000,    0.0000,   95.8320,    0.0000,    0.0000,  699.3345,  700.3816,    0.1186,    0.2071,   13.1486,   97.8258,  515.0730,   55.3123,   14.0078,      3060
     1,    0.0000,   51.3709,   59.6540,   25.3412,  135.4345,  135.2288,   12.2204,   11.5244,   38.9823,   40.9454,    0.0000,    0.0000,    0.0000,  100.4535,    0.0000,    0.0000,  699.2223,  700.2572,    0.1186,    0.2077,   12.6393,  101.6613,  511.5713,   57.7021,   12.4807,      3060
     2,    0.0000,   50.6143,   58.3107,   25.3566,  135.5158,  135.2379,   12.3597,   11.7888,   38.5383,   41.5645,    0.0000,    0.0000,    0.0000,  100.7359,    0.0000,    0.0000,  699.2229,  700.2497,    0.1197,    0.2053,   12.8757,  102.0819,  510.1868,   57.6910,   12.6157,      3060
     3,    0.0000,   54.6681,   55.3019,   25.9739,  135.2448,  135.1774,   12.3147,   12.2231,   37.1683,   39.2124,    0.0000,    0.0000,    0.0000,   99.9983,    0.0000,    0.0000,  699.0183,  700.0524,    0.1209,    0.2090,   12.9502,  101.2898,  508.1837,   59.3981,   13.3417,      3060
     4,    0.0000,   55.5411,   54.3611,   26.2850,  135.3540,  134.7184,   12.0908,   11.4097,   35.4228,   39.5481,    0.0000,    0.0000,    0.0000,  100.2470,    0.0000,    0.0000,  695.6064,  696.6681,    0.1208,    0.2110,   13.1808,  101.5733,  505.6385,   56.5387,   14.6302,      3060
     5,    0.0000,   54.7896,   51.7902,   26.5909,  134.9280,  134.6883,   12.1408,   11.7917,   34.4897,   38.9590,    0.0000,    0.0000,    0.0000,  100.2634,    0.0000,    0.0000,  693.0231,  694.0823,    0.1220,    0.2093,   13.2878,  101.8260,  501.0914,   55.4263,   17.1198,      3060
     6,    0.0000,   52.1364,   54.8249,   24.3318,  134.8913,  134.7690,   12.1423,   11.6349,   35.0964,   41.1735,    0.0000,    0.0000,    0.0000,   99.8100,    0.0000,    0.0000,  693.2660,  694.3172,    0.1203,    0.2091,   13.3541,  101.4050,  501.9424,   54.6987,   17.5075,      3060
     7,    0.0000,   54.6612,   51.6496,   26.4172,  135.1053,  134.7050,   12.1022,   11.7623,   37.2110,   37.1120,    0.0000,    0.0000,    0.0000,   99.6417,    0.0000,    0.0000,  694.1007,  695.1560,    0.1189,    0.2077,   13.3928,  100.9735,  501.6863,   56.8520,   16.8979,      3060
     8,    0.0000,   54.0869,   49.6541,   25.4184,  135.4183,  136.0079,   12.0827,   11.4662,   37.8113,   37.4103,    0.0000,    0.0000,    0.0000,  101.0808,    0.0000,    0.0000,  694.0686,  695.1257,    0.1209,    0.2121,   13.4623,  102.3022,  500.3238,   57.8830,   15.6872,      3060
     9,    0.0000,   54.7063,   47.0933,   25.7878,  135.3130,  136.0404,   12.1709,   11.3865,   37.9118,   38.2195,    0.0000,    0.0000,    0.0000,  100.3830,    0.0000,    0.0000,  693.7882,  694.8377,    0.1196,    0.2131,   13.4074,  101.9007,  499.5457,   58.0606,   16.4194,      3060
