OOPS_STATS ------------------------------------ Timing Statistics -------------------------------------
OOPS_STATS --------------------------------------------------------------------------------------------
OOPS_STATS Name                                                :   total (ms)   count    time/call (ms)
OOPS_STATS ObsFilter::Background Check::ObsFilter              :        32.00       2           16.0008
OOPS_STATS ObsFilter::Background Check::postFilter             :       102.59       2           51.2955
OOPS_STATS ObsFilter::Background Check::preProcess             :         0.42       2            0.2106
OOPS_STATS ObsFilter::Background Check::priorFilter            :         0.01       2            0.0055
OOPS_STATS ObsFilter::Final Check::ObsFilter                   :         3.61       3            1.2020
OOPS_STATS ObsFilter::Final Check::postFilter                  :         0.02       3            0.0071
OOPS_STATS ObsFilter::Final Check::preProcess                  :         0.01       3            0.0044
OOPS_STATS ObsFilter::Final Check::priorFilter                 :         0.01       3            0.0025
OOPS_STATS ObsFilter::Perform Action::ObsFilter                :        97.16       2           48.5796
OOPS_STATS ObsFilter::Perform Action::postFilter               :         0.00       2            0.0002
OOPS_STATS ObsFilter::Perform Action::preProcess               :        24.05       2           12.0254
OOPS_STATS ObsFilter::Perform Action::priorFilter              :         0.02       2            0.0084
OOPS_STATS ObsFilter::QCmanager::ObsFilter                     :       100.85       3           33.6165
OOPS_STATS ObsFilter::QCmanager::postFilter                    :      nid003592.dogwood.wcoss2.ncep.noaa.gov 0:    0.17       3            0.0559
OOPS_STATS ObsFilter::QCmanager::preProcess                    :         0.00       3            0.0001
OOPS_STATS ObsFilter::QCmanager::priorFilter                   :         0.00       3            0.0002
OOPS_STATS Vader::Vader                                        :        12.49       7            1.7844
OOPS_STATS Vader::changeVar                                    :         1.50       5            0.2997
OOPS_STATS Vader::changeVarTraj                                :        20.89       2           10.4475
OOPS_STATS fv3jedi::IOFms::IOFms                               :        61.04      62            0.9845
OOPS_STATS fv3jedi::IOFms::read state                          :    144792.21      61         2373.6427
OOPS_STATS fv3jedi::IOFms::write state                         :      2946.50       1         2946.4969
OOPS_STATS fv3jedi::IOFms::~IOFms                              :         6.09      62            0.0982
OOPS_STATS fv3jedi::LinVarChaModel2GeoVaLs::LinVarChaModel2Geo :         5.86       2            2.9290
OOPS_STATS fv3jedi::LinVarChaModel2GeoVaLs::multiplyAD         :       667.15     102            6.5407
OOPS_STATS fv3jedi::LinVarChaModel2GeoVaLs::~LinVarChaModel2Ge :        22.40       2           11.2013
OOPS_STATS fv3jedi::VarChaModel2GeoVaLs::VarChaModel2GeoVaLs   :         8.80       5            1.7594
OOPS_STATS fv3jedi::VarChaModel2GeoVaLs::changeVar             :       468.43       5           93.6865
OOPS_STATS fv3jedi::VarChaModel2GeoVaLs::~VarChaModel2GeoVaLs  :         0.02       5            0.0038
OOPS_STATS oops::Covariance::EnsembleCovariance                :    139724.48       2        69862.2380
nid003592.dogwood.wcoss2.ncep.noaa.gov 0: OOPS_STATS oops::Covariance::ensemble::Constructor             :         0.01       2            0.0065
OOPS_STATS oops::Covariance::ensemble::multiply                :   1316645.47     102        12908.2890
OOPS_STATS oops::GeoVaLs::GeoVaLs                              :      3100.92     207           14.9803
OOPS_STATS oops::GeoVaLs::fill                                 :       940.22   17820            0.0528
OOPS_STATS oops::GeoVaLs::fillAD                               :        12.35   16524            0.0007
OOPS_STATS oops::GeoVaLs::~GeoVaLs                             :        44.49     207            0.2149
OOPS_STATS oops::Geometry::Geometry                            :      2992.00       3          997.3320
OOPS_STATS oops::Geometry::variableSizes                       :         0.18      19            0.0094
OOPS_STATS oops::Geometry::~Geometry                           :        33.25       3           11.0830
OOPS_STATS oops::GeometryData::setGlobalTree                   :       177.59       5           35.5180
