  mype,      init,    upsend,    dnsend,    weight,    hfiltT,     hfilt,    vfiltT,     vfilt,     bocoT,      boco,   filt2an,     aintp,      intp,   an2filt,    output,     total,  multiply,  ifc_mult,   ifc_reg,  ifc_fset,preprocess,anal_to_fi, filtering,filt_to_an,postproces,    icount
     0,    0.0000,   11.9165,   16.0696,    1.9494,   52.8659,   52.3564,    8.2368,    8.1364,   11.0238,    9.6183,    0.0000,    0.0000,    0.0000,   21.6128,    0.0000,    0.0000,  222.3721,  222.4598,    0.0080,    0.0159,    3.8702,   22.4440,  172.4578,   15.0538,    7.5154,      3060
     1,    0.0000,   14.8026,   16.0578,    2.1767,   52.0357,   51.0997,    8.4142,    7.9621,    7.8272,   10.5068,    0.0000,    0.0000,    0.0000,   23.4345,    0.0000,    0.0000,  223.0728,  223.1548,    0.0078,    0.0147,    3.8196,   23.7899,  171.1198,   17.7627,    5.7003,      3060
     2,    0.0000,   12.8192,   15.6646,    1.8977,   51.8748,   50.9273,    8.3449,    7.9773,    8.0717,   11.4814,    0.0000,    0.0000,    0.0000,   24.2773,    0.0000,    0.0000,  223.0325,  223.1117,    0.0082,    0.0151,    4.0920,   24.6199,  169.2974,   18.6109,    5.1713,      3060
     3,    0.0000,   13.6645,   15.0845,    2.1978,   51.7770,   50.7832,    8.4823,    8.0132,    7.4362,   11.1081,    0.0000,    0.0000,    0.0000,   24.0336,    0.0000,    0.0000,  222.9801,  223.0657,    0.0087,    0.0155,    4.1605,   24.3598,  168.7883,   19.2228,    5.1319,      3060
     4,    0.0000,   14.6641,   14.6693,    2.2981,   51.4566,   50.8551,    7.0131,    7.8284,    8.0314,   10.8208,    0.0000,    0.0000,    0.0000,   24.6140,    0.0000,    0.0000,  222.3389,  222.4450,    0.0100,    0.0198,    3.9844,   24.9666,  167.8799,   19.1321,    5.1123,      3060
     5,    0.0000,   14.4649,   13.4886,    2.4254,   51.4310,   50.8544,    7.0205,    7.7638,    8.2682,   10.4776,    0.0000,    0.0000,    0.0000,   24.7198,    0.0000,    0.0000,  221.5216,  221.6190,    0.0094,    0.0187,    3.9854,   25.0576,  166.4252,   18.4078,    6.3612,      3060
     6,    0.0000,   12.2570,   13.7024,    1.8309,   51.4103,   50.8739,    7.0944,    7.8303,    9.3614,   11.3628,    0.0000,    0.0000,    0.0000,   25.1972,    0.0000,    0.0000,  220.4090,  220.5012,    0.0089,    0.0194,    4.0241,   25.4921,  165.9559,   16.2804,    7.3244,      3060
     7,    0.0000,   10.8677,   12.9095,    2.3738,   51.4641,   50.8124,    7.1317,    7.8540,   10.7126,    9.6704,    0.0000,    0.0000,    0.0000,   26.6713,    0.0000,    0.0000,  220.7014,  220.7933,    0.0089,    0.0183,    4.0092,   26.9183,  164.0262,   17.3102,    7.1196,      3060
     8,    0.0000,   12.6264,   12.4420,    2.4559,   51.4990,   50.8165,    7.1799,    7.7547,   10.2735,    9.6654,    0.0000,    0.0000,    0.0000,   25.0241,    0.0000,    0.0000,  220.3682,  220.4688,    0.0099,    0.0216,    4.4075,   25.3047,  164.9624,   18.6101,    5.7260,      3060
     9,    0.0000,   14.5426,   10.8390,    2.5353,   51.6145,   50.7705,    7.1770,    7.7780,    9.4886,   10.2646,    0.0000,    0.0000,    0.0000,   23.9446,    0.0000,    0.0000,  219.6643,  219.7606,    0.0097,    0.0206,    4.4292,   24.2890,  165.2409,   17.9972,    6.3391,      3060
    10,    0.0000,   14.7659,   10.7672,    2.6418,   51.6558,   50.7309,    7.2533,    7.7849,    9.1502,   10.2184,    0.0000,    0.0000,    0.0000,   23.9786,    0.0000,    0.0000,  218.2163,  218.3255,    0.0098,    0.0217,    4.4477,   24.3195,  165.2028,   15.5361,    7.3318,      3060
    11,    0.0000,   14.8530,   10.3345,    2.5580,   51.6880,   50.7580,    7.3765,    7.8206,    9.3883,   10.3710,    0.0000,    0.0000,    0.0000,   23.4607,    0.0000,    0.0000,  216.7102,  216.8251,    0.0102,    0.0231,    4.4640,   23.8343,  165.3865,   13.5542,    8.0710,      3060
    12,    0.0000,   14.9391,   10.2155,    2.5350,   51.5296,   50.6915,    7.2946,    7.8779,   10.2845,   10.3213,    0.0000,    0.0000,    0.0000,   23.2223,    0.0000,    0.0000,  214.4007,  214.4891,    0.0090,    0.0171,    4.1211,   23.5784,  165.9065,   11.3488,    8.0555,      3060
    13,    0.0000,   14.3280,   10.2689,    2.4511,   51.6310,   50.7398,    7.2221,    7.8400,   11.1024,   10.2507,    0.0000,    0.0000,    0.0000,   24.5356,    0.0000,    0.0000,  213.5847,  213.6708,    0.0076,    0.0155,    3.4562,   24.9202,  166.0654,    9.6011,    8.6096,      3060
    14,    0.0000,   11.5466,   14.6527,    2.6133,   51.8711,   50.7907,    7.3752,    7.9999,   15.0533,    9.3902,    0.0000,    0.0000,    0.0000,   21.8285,    0.0000,    0.0000,  221.7748,  221.8577,    0.0082,    0.0166,    4.0205,   22.5205,  171.5652,   17.3543,    5.0912,      3060
    15,    0.0000,   10.5735,   14.2972,    2.6910,   51.8550,   50.7272,    7.4969,    8.0480,   14.4991,    9.5461,    0.0000,    0.0000,    0.0000,   23.8663,    0.0000,    0.0000,  222.4769,  222.5588,    0.0083,    0.0164,    4.0547,   24.1870,  169.9729,   18.6427,    4.4411,      3060
    16,    0.0000,   12.9776,   13.7914,    2.7945,   52.1497,   51.2391,    7.7574,    8.1012,   10.1315,    9.7022,    0.0000,    0.0000,    0.0000,   24.3126,    0.0000,    0.0000,  225.4420,  225.5442,    0.0092,    0.0213,    4.3088,   24.8575,  168.9354,   20.4740,    5.6534,      3060
    17,    0.0000,   13.3029,   13.3687,    2.5519,   52.1833,   51.0864,    7.6758,    8.1506,    9.4646,   10.4574,    0.0000,    0.0000,    0.0000,   24.6304,    0.0000,    0.0000,  224.9665,  225.0562,    0.0086,    0.0179,    4.2803,   25.1223,  168.5236,   19.4639,    6.3726,      3060
    18,    0.0000,   12.1589,   13.1204,    2.7276,   51.9858,   51.0884,    7.7582,    7.9749,   10.1231,   10.2568,    0.0000,    0.0000,    0.0000,   24.9810,    0.0000,    0.0000,  224.8442,  224.9294,    0.0085,    0.0180,    4.4397,   25.3846,  167.4613,   19.5999,    6.5101,      3060
    19,    0.0000,   12.4366,   11.9225,    2.7701,   51.8972,   51.1156,    7.8154,    8.0474,   10.2814,   10.0864,    0.0000,    0.0000,    0.0000,   24.3143,    0.0000,    0.0000,  224.3405,  224.4350,    0.0099,    0.0198,    4.5682,   24.7294,  166.6516,   19.8320,    6.9773,      3060
