"group"	"reduction_pct"	"name"	"total_ms_1936"	"total_ms_484"	"count_1936"	"count_484"	"time_per_call_ms_1936"	"time_per_call_ms_484"
"G1 >50% faster"	"100"	"oops::ModelData::~ModelData"	"0"	"7.01"	"2"	"2"	"0.0015"	"3.5068"
"G1 >50% faster"	"99.9"	"oops::ObsAuxIncrement::print"	"0.03"	"29.05"	"39"	"39"	"0.0007"	"0.7449"
"G1 >50% faster"	"99.87"	"oops::ObsAuxCovariance::linearize"	"0.02"	"15.61"	"6"	"6"	"0.0037"	"2.601"
"G1 >50% faster"	"99.64"	"oops::ObsAuxIncrement::diff"	"0.08"	"22.04"	"15"	"15"	"0.0051"	"1.4691"
"G1 >50% faster"	"96.88"	"oops::LinearObsOper::aircar_airTemperature_133::set"	"70.74"	"2265.26"	"2"	"2"	"35.3688"	"1132.6316"
"G1 >50% faster"	"96.33"	"ObsFilter::Background Check::ObsFilter"	"3.6"	"97.96"	"16"	"16"	"0.2248"	"6.1225"
"G1 >50% faster"	"92.58"	"oops::GetValues::fillGeoVaLsTL"	"5.25"	"70.74"	"186"	"222"	"0.0282"	"0.3186"
"G1 >50% faster"	"90.51"	"ObsFilter::Domain Check::ObsFilter"	"1.77"	"18.65"	"3"	"3"	"0.5892"	"6.216"
"G1 >50% faster"	"88.22"	"oops::State::zero"	"9.45"	"80.21"	"60"	"60"	"0.1574"	"1.3369"
"G1 >50% faster"	"85.99"	"fv3jedi::LinVarChaModel2GeoVaLs::~LinVarChaModel2Ge"	"0.29"	"2.07"	"2"	"2"	"0.1444"	"1.0365"
"G1 >50% faster"	"85.88"	"ufo::ObsFilter::~ObsFilter"	"85.49"	"605.45"	"201"	"201"	"0.4253"	"3.0122"
"G1 >50% faster"	"84.79"	"oops::ObsSpace::~ObsSpace"	"0.47"	"3.09"	"3"	"3"	"0.1575"	"1.0298"
"G1 >50% faster"	"84.46"	"oops::Increment::Increment"	"3977.77"	"25594.97"	"5981"	"6797"	"0.6651"	"3.7656"
"G1 >50% faster"	"82.57"	"oops::Increment::operator="	"1555.91"	"8925.2"	"3343"	"3799"	"0.4654"	"2.3494"
"G1 >50% faster"	"80.58"	"oops::GetValues::finalizeAD"	"5.6"	"28.84"	"192"	"228"	"0.0291"	"0.1265"
"G1 >50% faster"	"77.64"	"oops::Increment::fromFieldSet"	"10173.88"	"45492.66"	"2674"	"3046"	"3.8047"	"14.9352"
"G1 >50% faster"	"76.44"	"oops::Increment::axpy"	"934.39"	"3966.06"	"1385"	"1799"	"0.6746"	"2.2046"
"G1 >50% faster"	"76.27"	"oops::ModelAuxIncrement::dot_product_with"	"0.14"	"0.59"	"1299"	"1737"	"0.0001"	"0.0003"
"G1 >50% faster"	"75.67"	"oops::Increment::operator+="	"1875.05"	"7707.57"	"2920"	"3328"	"0.6421"	"2.316"
"G1 >50% faster"	"75.33"	"ObsFilter::Bounds Check::ObsFilter"	"7.35"	"29.79"	"9"	"9"	"0.8163"	"3.3097"
"G1 >50% faster"	"75.04"	"oops::Increment::schur_product_with"	"3638.19"	"14575.77"	"5220"	"5940"	"0.697"	"2.4538"
"G1 >50% faster"	"75.03"	"oops::State::toFieldSet"	"34.99"	"140.14"	"9"	"9"	"3.8879"	"15.5708"
"G1 >50% faster"	"75"	"ObsFilter::QCmanager::postFilter"	"0.01"	"0.04"	"9"	"9"	"0.0014"	"0.0041"
"G1 >50% faster"	"75"	"oops::ModelAuxIncrement::axpy"	"0.13"	"0.52"	"1165"	"1579"	"0.0001"	"0.0003"
"G1 >50% faster"	"74.99"	"oops::Increment::zero"	"66.7"	"266.71"	"218"	"254"	"0.306"	"1.05"
