"group"	"reduction_pct"	"name"	"total_ms_1936"	"total_ms_484"	"count_1936"	"count_484"	"time_per_call_ms_1936"	"time_per_call_ms_484"
"G1 >50% faster"	"99.9"	"oops::ObsAuxIncrement::print"	"0.03"	"29.05"	"39"	"39"	"0.0007"	"0.7449"
"G1 >50% faster"	"99.87"	"oops::ObsAuxCovariance::linearize"	"0.02"	"15.61"	"6"	"6"	"0.0037"	"2.601"
"G1 >50% faster"	"99.64"	"oops::ObsAuxIncrement::diff"	"0.08"	"22.04"	"15"	"15"	"0.0051"	"1.4691"
"G1 >50% faster"	"96.33"	"ObsFilter::Background Check::ObsFilter"	"3.6"	"97.96"	"16"	"16"	"0.2248"	"6.1225"
"G1 >50% faster"	"92.58"	"oops::GetValues::fillGeoVaLsTL"	"5.25"	"70.74"	"186"	"222"	"0.0282"	"0.3186"
"G1 >50% faster"	"90.51"	"ObsFilter::Domain Check::ObsFilter"	"1.77"	"18.65"	"3"	"3"	"0.5892"	"6.216"
"G1 >50% faster"	"85.99"	"fv3jedi::LinVarChaModel2GeoVaLs::~LinVarChaModel2Ge"	"0.29"	"2.07"	"2"	"2"	"0.1444"	"1.0365"
"G1 >50% faster"	"85.88"	"ufo::ObsFilter::~ObsFilter"	"85.49"	"605.45"	"201"	"201"	"0.4253"	"3.0122"
"G1 >50% faster"	"84.79"	"oops::ObsSpace::~ObsSpace"	"0.47"	"3.09"	"3"	"3"	"0.1575"	"1.0298"
"G1 >50% faster"	"80.58"	"oops::GetValues::finalizeAD"	"5.6"	"28.84"	"192"	"228"	"0.0291"	"0.1265"
"G1 >50% faster"	"75.33"	"ObsFilter::Bounds Check::ObsFilter"	"7.35"	"29.79"	"9"	"9"	"0.8163"	"3.3097"
"G1 >50% faster"	"75"	"ObsFilter::QCmanager::postFilter"	"0.01"	"0.04"	"9"	"9"	"0.0014"	"0.0041"
"G1 >50% faster"	"72.73"	"oops::ObsOperator::aircar_winds_233::simulateObs"	"0.06"	"0.22"	"3"	"3"	"0.0209"	"0.0736"
"G1 >50% faster"	"69.41"	"ObsFilter::Perform Action::preProcess"	"102.52"	"335.12"	"31"	"31"	"3.3071"	"10.8103"
"G1 >50% faster"	"68.84"	"fv3jedi::LinVarChaModel2GeoVaLs::multiplyAD"	"54.15"	"173.77"	"64"	"76"	"0.8461"	"2.2865"
"G1 >50% faster"	"66.31"	"ufo::ObsFilter::preProcess"	"116.69"	"346.4"	"84"	"84"	"1.3892"	"4.1238"
"G1 >50% faster"	"66.14"	"oops::GetValues::fillGeoVaLs"	"21.94"	"64.8"	"15"	"15"	"1.4628"	"4.3203"
"G1 >50% faster"	"64.99"	"oops::ObsSpace::save"	"387.92"	"1108.03"	"3"	"3"	"129.3063"	"369.3434"
"G1 >50% faster"	"63.64"	"oops::ObsVector::zero"	"0.04"	"0.11"	"195"	"231"	"0.0002"	"0.0005"
"G1 >50% faster"	"62.7"	"ObsFilter::Variable Assignment::postFilter"	"1.41"	"3.78"	"4"	"4"	"0.3532"	"0.9458"
"G1 >50% faster"	"55.48"	"oops::GeoVaLs::fillAD"	"0.69"	"1.55"	"1536"	"1596"	"0.0005"	"0.001"
"G1 >50% faster"	"53.32"	"oops::GetValueTLADs::preProcessModelData"	"454.43"	"973.45"	"128"	"152"	"3.5502"	"6.4043"
"G2 50%..10% faster"	"50"	"oops::ObsAuxIncrement::zero"	"0.06"	"0.12"	"192"	"228"	"0.0003"	"0.0005"
